hexsha,patch,summary,author
d4c90b0043bd,https://github.com/torvalds/linux/commit/d4c90b0043bd,KVM: x86: Add missing inline tag to kvm_read_and_reset_pf_reason,Jan Kiszka
5b919f833d9d,https://github.com/torvalds/linux/commit/5b919f833d9d,net: ax25: fix information leak to userland harder,Kees Cook
1c5b9e906556,https://github.com/torvalds/linux/commit/1c5b9e906556,ext4: fix memory leak in ext4_free_branches,Theodore Ts'o
fc550e95921e,https://github.com/torvalds/linux/commit/fc550e95921e,xen/fb: fix potential memory leak,Joe Jin
25f3ff2c4458,https://github.com/torvalds/linux/commit/25f3ff2c4458,Blackfin: sram_free_with_lsl: do not ignore return value of sram_free,Mike Frysinger
3daa7ea650d5,https://github.com/torvalds/linux/commit/3daa7ea650d5,ALSA: Don't leak in sound/core/oss/pcm_oss.c::snd_pcm_hw_param_near(),Jesper Juhl
26877c794407,https://github.com/torvalds/linux/commit/26877c794407,hamradio: Resolve memory leak due to missing firmware release in add_mcs(),Jesper Juhl
1dbd1951f39e,https://github.com/torvalds/linux/commit/1dbd1951f39e,tracing: Fix preempt count leak,Li Zefan
72135d21b587,https://github.com/torvalds/linux/commit/72135d21b587,classmate-laptop: add missing input_sync call,Herton Ronaldo Krzesinski
735759389b71,https://github.com/torvalds/linux/commit/735759389b71,spi/imx: correct the test on platform_get_irq() return value,Richard Genoud
e9aa1dd19fe4,https://github.com/torvalds/linux/commit/e9aa1dd19fe4,sched: Fix struct autogroup memory leak,Mike Galbraith
8c18194f6c0a,https://github.com/torvalds/linux/commit/8c18194f6c0a,m68k: Check __get_user()/__put_user() return value,Al Viro
2cf5be93d1b7,https://github.com/torvalds/linux/commit/2cf5be93d1b7,dccp: fix return value for sequence-invalid packets,Samuel Jero
23036f1a340b,https://github.com/torvalds/linux/commit/23036f1a340b,blktrace: add missing probe argument to block_bio_complete,Mathieu Desnoyers
a4264b3f4049,https://github.com/torvalds/linux/commit/a4264b3f4049,UDF: Close small mem leak in udf_find_entry(),Jesper Juhl
e045da7d835a,https://github.com/torvalds/linux/commit/e045da7d835a,drivers/video/carminefb.c: improve error handling,Julia Lawall
7432e4bd0bce,https://github.com/torvalds/linux/commit/7432e4bd0bce,xen/xenbus: clean up error handling,Jeremy Fitzhardinge
aa3a41d009d4,https://github.com/torvalds/linux/commit/aa3a41d009d4,[S390] qeth: buffer count imbalance,Jan Glauber
c9e57f0fdccf,https://github.com/torvalds/linux/commit/c9e57f0fdccf,carl9170: add missing return-value check,Christian Lamparter
d2460f4b2fa6,https://github.com/torvalds/linux/commit/d2460f4b2fa6,mac80211: add missing synchronize_rcu,Johannes Berg
878215feb8b2,https://github.com/torvalds/linux/commit/878215feb8b2,NFS: Don't leak in nfs_proc_symlink(),Jesper Juhl
101e5f77bf35,https://github.com/torvalds/linux/commit/101e5f77bf35,"sched, autogroup: Fix reference leak",Mike Galbraith
0fbf8ed976af,https://github.com/torvalds/linux/commit/0fbf8ed976af,HID: hid-picolcd: Fix memory leak in picolcd_debug_out_report(),Jesper Juhl
b9556f9a1abd,https://github.com/torvalds/linux/commit/b9556f9a1abd,drivers/atm/atmtcp.c: add missing atm_dev_put,Julia Lawall
